Guild ID ,Poll Active,Question Registered,Answer Choices Registered (LIST),Vote Counter Corresponding (LIST), Members Vote Registry (LIST)
589645902634024970,false,/empty,[],[],[]
359134780715171841,true,Should I reroll these skins?,"['Yes', 'No', ""Do it cuz you're a banger""]","['0', '0', '1']",['207643784748466176;3']
